,Title,Created at,Vendor,URL,Product Type,variants_title,SKU,Price,ComparePrice
0,Wasserstein Portable and Magnetic Apple Watch Charger Station with Charging Cable for Apple Watch Series SE 6 5 4 3 2,2021-11-16T17:48:14-08:00,Wasserstein,wasserstein-portable-and-magnetic-apple-watch-charger-station-with-charging-cable-for-apple-watch-series-se-6-5-4-3-2,Wassertein-AppleWatch-Charger,Default Title,AppleWatchChargerUS,18.99,21.99
1,Wasserstein No-Drill Mount for Arlo Essential Wireless Video Doorbell - Avoid Drilling and Protect Your Walls,2021-11-04T20:28:18-07:00,Wasserstein,wasserstein-no-drill-mount-compatible-for-arlo-essential-wireless-video-doorbell-avoid-drilling-and-protect-your-walls,,Default Title,ArloEssDBNoDrillMntUS,11.99,14.99
2,Wasserstein No-Drill Mount Compatible With Google Nest Doorbell (battery),2021-11-14T22:51:53-08:00,Wasserstein,wasserstein-no-drill-mount-compatible-with-google-nest-doorbell-battery,Google-Nest-Doorbell-No-Drill-Mount,Default Title,GoogleDBNoDrillMntUS,11.99,14.99
3,Wasserstein AC Outlet Mount Compatible with Arlo Essential Indoor Camera - Flexible Mounting Option for Your Home Security Camera,2021-11-07T23:21:02-08:00,Wasserstein,wasserstein-ac-outlet-mount-compatible-with-arlo-essential-indoor-camera-flexible-mounting-option-for-your-home-security-camera,Arlo-Indoor-AC-Mount,Default Title,ArloInACMountBlkUS,10.99,8.99
4,Wasserstein Apple AirTag Holder Leather Keychain (4-Pack),2021-11-03T03:31:49-07:00,Wasserstein,pu-leather-keychain-holder-for-apple-airtag-4-pack-yellow-brown-blue-red,Wasserstein-AirTagCase,Default Title,AppleAirTagKey4pYlBnBlRdUS,27.99,34.99
5,Wasserstein Premium Solar Charger Compatible with Ring Video Doorbell 2nd Gen | Powered by US-Engineered Solar Cells,2021-09-23T19:56:45-07:00,Wasserstein,wasserstein-premium-solar-charger-compatible-with-ring-video-doorbell-2nd-gen-powered-by-us-engineered-solar-cells,Ring-DB2-Solar-Charger,Default Title,RingDBSecSolarSPremBlkUS,39.99,59.99
6,"Aqua Dew Mini - Portable Alexa Smart Speaker, Waterproof Bluetooth Speaker, IPX6 Waterproof for Home and Outdoor, Wireless Stereo Pairing for Awesome Party Experience",2021-10-22T01:08:12-07:00,Wasserstein,aqua-dew-mini-portable-alexa-smart-speaker-waterproof-bluetooth-speaker-ipx6-waterproof-for-home-and-outdoor-wireless-stereo-pairing-for-awesome-party-experience,Alexa-Shower-Speaker,Default Title,AquaDewMiniBlk,47.99,
7,"Amazon Echo Show 5 (2nd Gen, 2021 release) Smart Display (Black) | Brand New",2021-11-01T19:21:04-07:00,Wasserstein,amazon-echo-show-5-2nd-gen-2021-release-smart-display-black-brand-new,Echo-Show-5-2nd,Default Title,B08J8FFJ8H,84.99,
8,Dartwood 720P HD Kids Video Camera / Camcorder with 2.0” Color Display Screen - 32GB microSD Card Included (Pink),2021-11-01T18:38:20-07:00,Dartwood,dartwood-720p-hd-kids-video-camera-camcorder-with-2-0-color-display-screen-32gb-microsd-card-included-pink,Dart-Kids-Video Camera,Default Title,HandyKidCamPnkUS,31.99,
9,Google Nest Doorbell (battery) + Solar Panel + Google Nest Hub (2nd Gen) + Adjustable Stand Bundle | Made for Google Nest,2021-10-29T01:24:47-07:00,Wasserstein,nest-doorbell-battery-solar-panel-hub-2nd-gen-hub-2nd-gen-stand-white,Nest-Doorbell-Solar-Panel-Hub-Stand-Bundles,Default Title,NstDb1So1HubSec1WStW,234.99,354.99
